Date,Ref No,Trans Description,Setl No,Buy/Cr,Sell/Dr,Balance
2024-08-05 00:00:00,27766220,CREDIT On Market 1100001100021102,1211232024145.0,1.0,,3.0
2024-08-05 00:00:00,27766220,DEBIT On Market 1100001100021102,1211232024145.0,,1.0,2.0
2024-08-12 00:00:00,733415,CREDIT On Market 1208870000010189,,1.0,,3.0
2024-11-27 00:00:00,,Closing Balance,,,,3.0
ISIN: INE298A01020,ISIN Name: CUMMINS INDIA-RS 2/-,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-08-14 00:00:00,650007,CREDIT On Market 1208870000010189,,1.0,,1.0
2024-11-27 00:00:00,,Closing Balance,,,,1.0
ISIN: INE016A01026,ISIN Name: DABUR INDIA (RE.1/-),,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-07-24 00:00:00,947911,CREDIT On Market 1208870000010189,,5.0,,5.0
2024-07-25 00:00:00,9172214,DEBIT On Market 1100001100021102,1211232024139.0,,3.0,2.0
2024-07-26 00:00:00,9172214,CREDIT On Market 1100001100021102,1211232024139.0,3.0,,5.0
2024-07-26 00:00:00,9172214,DEBIT On Market 1100001100021102,1211232024139.0,,3.0,2.0
2024-08-13 00:00:00,602432,CREDIT On Market 1208870000010189,,1.0,,3.0
2024-08-16 00:00:00,337050,CREDIT On Market 1208870000010189,,2.0,,5.0
2024-11-27 00:00:00,,Closing Balance,,,,5.0
ISIN: INE042A01014,ISIN Name: ESCORTS KUBOTA  EQ,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-07-24 00:00:00,948022,CREDIT On Market 1208870000010189,,1.0,,1.0
2024-08-20 00:00:00,280766,CREDIT On Market 1208870000010189,,1.0,,2.0
2024-11-27 00:00:00,,Closing Balance,,,,2.0
ISIN: INE935A01035,ISIN Name: GLENMARK PHA-EQ RE 1,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-07-19 00:00:00,565972,CREDIT On Market 1208870000010189,,1.0,,1.0
2024-08-20 00:00:00,280981,CREDIT On Market 1208870000010189,,2.0,,3.0
2024-11-27 00:00:00,,Closing Balance,,,,3.0
ISIN: INE541A01023,ISIN Name: GMM PFAUDLER-EQ RS2,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-08-20 00:00:00,280921,CREDIT On Market 1208870000010189,,4.0,,4.0
2024-08-29 00:00:00,744417,CREDIT On Market 1208870000010189,,1.0,,5.0
2024-11-27 00:00:00,,Closing Balance,,,,5.0
